title,url
009-1: The End of the Beginning,https://www.crunchyroll.com/watch/G25FVD45Q/009-1-the-end-of-the-beginning
07 Ghost,https://www.crunchyroll.com/series/GYWE4X28Y/07-ghost
11eyes,https://www.crunchyroll.com/series/GYE5X75GR/11eyes
18if,https://www.crunchyroll.com/series/GR4949ZQ6/18if
22/7 (nanabun no nijyuuni),https://www.crunchyroll.com/series/G6P545WQ6/227-nanabun-no-nijyuuni
8 Man After,https://www.crunchyroll.com/series/GYNVD7Q0R/8-man-after
91 Days,https://www.crunchyroll.com/series/GRE5K3NQ6/91-days
<DOGEZA>I Tried Asking While Kowtowing.,https://www.crunchyroll.com/series/G64G29DER/dogezai-tried-asking-while-kowtowing
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi,https://www.crunchyroll.com/series/GRX0JQ4K6/a-bridge-to-the-starry-skies---hoshizora-e-kakaru-hashi
A Centaur's Life,https://www.crunchyroll.com/series/GYNQZV50Y/a-centaurs-life
A Certain Scientific Accelerator,https://www.crunchyroll.com/series/GY5PDD4PY/a-certain-scientific-accelerator
A Certain Scientific Railgun,https://www.crunchyroll.com/series/G649J4XPY/a-certain-scientific-railgun
A Dark Rabbit has Seven Lives,https://www.crunchyroll.com/series/GY2P5KQEY/a-dark-rabbit-has-seven-lives
A Destructive God Sits Next to Me,https://www.crunchyroll.com/series/G679XXM0Y/a-destructive-god-sits-next-to-me
A Lull in the Sea (Nagi-Asu: Nagi no Asukara),https://www.crunchyroll.com/series/GR49M7GP6/a-lull-in-the-sea-nagi-asu-nagi-no-asukara
A Place Further Than the Universe,https://www.crunchyroll.com/series/GYK541EPR/a-place-further-than-the-universe
A Sister's All You Need.,https://www.crunchyroll.com/series/GR9P90X16/a-sisters-all-you-need
A Wind Named Amnesia,https://www.crunchyroll.com/series/GYG5NDJDY/a-wind-named-amnesia
A3!,https://www.crunchyroll.com/series/GJ0H7Q8XX/a3
ABCiee Working Diary,https://www.crunchyroll.com/series/GW4HM74KJ/abciee-working-diary
Absolute Duo,https://www.crunchyroll.com/series/G619098KY/absolute-duo
ACCA: 13-Territory Inspection Dept.,https://www.crunchyroll.com/series/GR5V95N8R/acca-13-territory-inspection-dept
Accel World: Infinite Burst,https://www.crunchyroll.com/series/GR4PEMWQY/accel-world-infinite-burst
Ace Attorney,https://www.crunchyroll.com/series/GYE5K0XVR/ace-attorney
Active Raid,https://www.crunchyroll.com/series/GYGG9PV7Y/active-raid
Actors: Songs Connection,https://www.crunchyroll.com/series/GW4HM75MZ/actors-songs-connection
Actually, I Am,https://www.crunchyroll.com/series/G609GQ246/actually-i-am
Aesthetica of a Rogue Hero,https://www.crunchyroll.com/series/GRP8ZQP1R/aesthetica-of-a-rogue-hero
Africa Salaryman,https://www.crunchyroll.com/series/GDKHZEP9V/africa-salaryman
After School Dice Club,https://www.crunchyroll.com/series/GP5HJ81N9/after-school-dice-club
AFTERLOST,https://www.crunchyroll.com/series/G0XHWM5XQ/afterlost
Ah My Buddha!!,https://www.crunchyroll.com/series/G6DQNPE1R/ah-my-buddha
Aharen-san wa Hakarenai,https://www.crunchyroll.com/series/GNVHKN72N/aharen-san-wa-hakarenai
Ahiru no Sora,https://www.crunchyroll.com/series/G6NVGNJGY/ahiru-no-sora
Ai Tenchi Muyo!,https://www.crunchyroll.com/series/GVDHX8JWG/ai-tenchi-muyo
Ai-Mai-Mi,https://www.crunchyroll.com/series/GYP85K3KY/ai-mai-mi
Ai-Mai-Mi Mousou Catastrophe,https://www.crunchyroll.com/series/GRP8DZ7GR/ai-mai-mi-mousou-catastrophe
Air Master,https://www.crunchyroll.com/series/G6X0427EY/air-master
AIURA,https://www.crunchyroll.com/series/GYNQJQG3Y/aiura
Akagi (Drama),https://www.crunchyroll.com/series/G6190VXEY/akagi-drama
Akashic Records of Bastard Magic Instructor,https://www.crunchyroll.com/series/GYDQ8WZ16/akashic-records-of-bastard-magic-instructor
Akiba's Trip The Animation,https://www.crunchyroll.com/series/GRWEKW7NR/akibas-trip-the-animation
Akira,https://www.crunchyroll.com/series/GRQWJWPGR/akira
Akudama Drive,https://www.crunchyroll.com/series/GKEH2G440/akudama-drive
