title,rating,rating_count
009-1: The End of the Beginning,2.6,167
07 Ghost,4.5,1.9K
11eyes,4.2,2.6K
18if,3.5,215
22/7 (nanabun no nijyuuni),3.9,145
8 Man After,3.6,89
91 Days,4.7,3.3K
<DOGEZA>I Tried Asking While Kowtowing.,3.0,603
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi,4.4,1.6K
A Centaur's Life,3.8,941
A Certain Scientific Accelerator,4.5,1.3K
A Certain Scientific Railgun,4.7,2K
A Dark Rabbit has Seven Lives,4.4,1.3K
A Destructive God Sits Next to Me,4.1,586
A Lull in the Sea (Nagi-Asu: Nagi no Asukara),4.5,767
A Place Further Than the Universe,4.8,2.8K
A Sister's All You Need.,4.4,1.8K
A Wind Named Amnesia,3.5,81
A3!,4.3,205
ABCiee Working Diary,3.7,71
Absolute Duo,4.3,1.9K
ACCA: 13-Territory Inspection Dept.,4.7,715
Accel World: Infinite Burst,4.1,168
Ace Attorney,4.3,1.5K
Active Raid,3.2,166
Actors: Songs Connection,3.8,71
Actually, I Am,4.5,1.3K
Aesthetica of a Rogue Hero,4.5,3.1K
Africa Salaryman,3.4,101
After School Dice Club,4.5,341
AFTERLOST,4.0,185
Ah My Buddha!!,3.4,194
Aharen-san wa Hakarenai,4.7,14.5K
Ahiru no Sora,4.5,2.1K
Ai Tenchi Muyo!,3.1,272
Ai-Mai-Mi,3.4,110
Ai-Mai-Mi Mousou Catastrophe,3.6,49
Air Master,4.3,1.1K
AIURA,4.3,188
Akagi (Drama),3.2,79
Akashic Records of Bastard Magic Instructor,4.6,9.7K
Akiba's Trip The Animation,4.3,416
Akira,4.8,1K
Akudama Drive,4.7,3.2K
ALDNOAH.ZERO,4.4,1.8K
Alice & Zoroku,4.6,718
All Saints Street,4.7,1.2K
AMAIM Warrior at the Borderline,4.2,1.4K
Amanchu!,4.4,250
Ancient Girl's Frame,3.8,98
And you thought there is never a girl online?,4.4,3.7K
Angel Beats,4.7,4.6K
Angel Heart,2.9,44
Angel's 3Piece!,4.2,193
Angolmois: Record of Mongol Invasion,4.6,498
Anima Yell!,4.4,166
Anime AzurLane: Slow Ahead!,4.7,455
Anime Crimes Division,4.4,412
Anime De Training! Ex,3.8,102
Anime Recap,3.0,95
Anime-Gataris,4.1,235
Anisong Station,2.6,32
Anne-Happy,4.4,280
Another,4.7,8.2K
Anti-Magic Academy: The 35th Test Platoon,4.3,1.2K
Ao-chan Can't Study!,4.5,1.7K
Aoi Sekai no Chushin de,3.7,419
AOKANA: Four Rhythm Across the Blue,4.2,390
Arakawa Under the Bridge,4.4,282
Arata the Legend,3.7,276
Arcana,3.1,43
ARIA The ANIMATION,4.7,204
Aria the Scarlet Ammo,4.1,865
Arifureta: From Commonplace to World's Strongest,4.7,17.4K
Arknights: PRELUDE TO DAWN,4.7,4.7K
Armor Shop for Ladies & Gentlemen,3.0,392
ARP Backstage Pass,3.5,66
Arte,4.8,1.1K
As Miss Beelzebub Likes it.,4.5,674
Ascendance of a Bookworm,4.9,15.3K
Asobi Asobase - workshop of fun -,4.8,3.2K
Assassination Classroom,4.8,14.2K
Assault Lily BOUQUET,4.4,425
Astarotte's Toy,4.3,1.6K
ASTRA LOST IN SPACE,4.8,1.3K
Attack on Titan,4.8,84.4K
Attack on Titan Movies,4.5,413
Attack on Titan: Junior High,4.5,963
Aware! Meisaku-kun,3.3,61
AZUR LANE,4.5,820
BACK ARROW,4.0,212
Backflip!!,4.7,1.8K
Bakemonogatari,4.5,1.4K
BAKUMATSU,3.4,73
Bamboo Blade,4.4,148
BanG Dream! Movies,4.7,218
Banished from the Heros Party, I Decided to Live a Quiet Life in the Countryside,4.7,13.5K
Barakamon,4.9,1.4K
Basilisk,4.4,473
Basilisk : The Ouka Ninja Scrolls,3.4,564
Battle Game in 5 Seconds,4.5,4.9K
Battle Girls - Time Paradox,4.3,749
BBK/BRNK,3.4,140
Beast Tamer,4.7,14.9K
Beelzebub,4.6,4.2K
Berserk: The Golden Age Arc - Memorial Edition,4.8,7.8K
Between the Sky and Sea,3.2,135
BIG ORDER,3.4,929
Big Windup!,4.7,269
Bikini Warriors,3.6,893
Black Blood Brothers,4.5,281
Black Butler,4.6,729
Black Clover,4.8,41.3K
Black Clover (Dubs),4.8,13.5K
Black Lagoon,4.9,2.6K
Black Summoner,4.7,31.9K
BLACKFOX,4.2,688
Blade Runner Black Out 2022,4.5,262
Blade Runner: Black Lotus,4.2,1.5K
BLASSREITER,4.4,2K
Blast of Tempest,4.5,815
BLEND-S,4.6,2.6K
Bloodivores,3.2,625
Bludgeoning Angel Dokuro-chan,4.0,252
Blue Reflection Ray,4.1,216
Blue Seed,4.3,131
Blue Spring Ride,4.8,3.1K
BLUELOCK,4.9,38.2K
BOCCHI THE ROCK!,4.9,9.9K
Boku-no-imoutowa"Osaka-okan",3.5,62
BONJOUR♪Sweet Love Patisserie,3.9,511
BONO BONO,4.0,46
Boogiepop Phantom,4.4,170
BORUTO: NARUTO NEXT GENERATIONS,3.5,36.2K
Brave 10,4.4,1.2K
Brave Witches,4.2,228
Break Ups,4.0,253
Brynhildr in the Darkness,4.2,908
BUILD-DIVIDE -#000000- CODE BLACK,3.8,1.3K
Bungo Stray Dogs,4.8,14.9K
Bungo Stray Dogs WAN!,4.9,1.5K
BURN THE WITCH,4.5,3.3K
Burning Kabaddi,4.6,1.4K
Burst Angel,4.0,284
By the Grace of the Gods,4.8,7K
C3 Anime,4.2,156
Calamity of a Zombie Girl,3.1,159
Call to Cosplay,1.6,55
Campione!,4.6,1.4K
Canvas 2: Niji Iro no Sketch,4.4,280
Captain Harlock: Arcadia of my Youth,4.3,77
Captain Harlock: Arcadia of my Youth - Endless Orbit SSX,4.5,30
Cardcaptor Sakura the Movie 2: The Sealed Card,4.8,248
Cardcaptor Sakura: Clear Card,4.8,1.3K
Cardcaptor Sakura: The Movie,4.7,234
Cardfight!! Vanguard Asia Circuit (Season 2),3.9,37
Cardfight!! Vanguard G,4.0,56
Cardfight!! Vanguard Link Joker (Season 3),4.1,39
CARDFIGHT!! VANGUARD overDress,3.8,676
Case Closed (Detective Conan),4.7,2.9K
Casshern Sins,4.5,345
Cat Girl Nuku Nuku,4.3,77
Cells at Work!,4.7,3.8K
Cells at Work! CODE BLACK,4.7,1.3K
Cerberus,3.1,637
